,Close,dates
1468,20.793991,2008-09-29
1469,21.216022,2008-09-30
1470,21.223175,2008-10-01
1471,20.128756,2008-10-02
1472,20.228899,2008-10-03
1473,19.306152,2008-10-06
1474,17.961374,2008-10-07
1475,17.868382999999994,2008-10-08
1476,16.280401,2008-10-09
1477,16.080114000000002,2008-10-10
1478,18.311874,2008-10-13
1479,17.603720000000006,2008-10-14
1480,15.844063,2008-10-15
1481,16.609442,2008-10-16
1482,16.173105,2008-10-17
1483,17.060085,2008-10-20
1484,16.258942,2008-10-21
1485,15.193133,2008-10-22
1486,14.821173000000002,2008-10-23
1487,14.127325,2008-10-24
1488,13.53362,2008-10-27
1489,15.128756,2008-10-28
1490,15.236052,2008-10-29
1491,16.115879,2008-10-30
1492,15.872675,2008-10-31
1493,16.452074,2008-11-03
1494,17.625179,2008-11-04
1495,16.638054,2008-11-05
1496,15.329041,2008-11-06
1497,15.622317,2008-11-07
1498,15.529327,2008-11-10
1499,14.97854,2008-11-11
1500,13.855508,2008-11-12
1501,15.0,2008-11-13
1502,14.842632,2008-11-14
1503,13.676681,2008-11-17
1504,13.590844,2008-11-18
1505,12.618026,2008-11-19
1506,11.587983,2008-11-20
1507,12.367668,2008-11-21
1508,13.311874,2008-11-24
1509,13.268954999999998,2008-11-25
1510,13.369099,2008-11-26
1511,13.469242,2008-11-28
1512,12.346209,2008-12-01
1513,12.618026,2008-12-02
1514,13.018598,2008-12-03
1515,12.525036,2008-12-04
1516,12.346209,2008-12-05
1517,12.331903,2008-12-08
1518,12.825465,2008-12-09
1519,13.011445,2008-12-10
1520,12.968527,2008-12-11
1521,12.439198,2008-12-12
1522,11.788269,2008-12-15
1523,11.67382,2008-12-16
1524,11.680973,2008-12-17
1525,11.645207,2008-12-18
1526,11.645207,2008-12-19
1527,11.309012,2008-12-22
1528,11.173104,2008-12-23
1529,11.144492,2008-12-24
1530,11.051502,2008-12-26
1531,10.722461,2008-12-29
1532,10.643777,2008-12-30
1533,11.180258,2008-12-31
1534,11.616595,2009-01-02
1535,12.010015,2009-01-05
1536,12.968527,2009-01-06
1537,13.040057,2009-01-07
1538,13.125895000000002,2009-01-08
1539,13.247497,2009-01-09
1540,13.247497,2009-01-12
1541,13.633762,2009-01-13
1542,13.197425,2009-01-14
1543,13.676681,2009-01-15
1544,13.955651,2009-01-16
1545,13.268954999999998,2009-01-20
1546,13.776824,2009-01-21
1547,13.519313,2009-01-22
1548,13.333332999999998,2009-01-23
1549,13.526466,2009-01-26
1550,13.376252,2009-01-27
1551,13.562232,2009-01-28
1552,13.283262,2009-01-29
1553,12.932761,2009-01-30
1554,12.896996,2009-02-02
1555,13.025751,2009-02-03
1556,13.218884,2009-02-04
1557,13.819742000000002,2009-02-05
1558,13.805435999999998,2009-02-06
1559,13.619456,2009-02-09
1560,13.061517,2009-02-10
1561,13.140201,2009-02-11
1562,13.32618,2009-02-12
1563,13.211731,2009-02-13
1564,12.625179,2009-02-17
1565,11.480687,2009-02-18
1566,11.130186,2009-02-19
1567,10.858369,2009-02-20
1568,10.214592,2009-02-23
1569,10.665236,2009-02-24
1570,10.486409,2009-02-25
1571,10.164521,2009-02-26
1572,9.921316,2009-02-27
1573,9.0701,2009-03-02
1574,9.0701,2009-03-03
1575,9.520744,2009-03-04
1576,8.969957,2009-03-05
1577,9.048641,2009-03-06
1578,8.898425999999997,2009-03-09
1579,9.606581,2009-03-10
1580,9.678112,2009-03-11
1581,9.878398,2009-03-12
1582,10.007154,2009-03-13
1583,9.842632,2009-03-16
1584,10.314735,2009-03-17
1585,10.393419,2009-03-18
1586,10.543633,2009-03-19
1587,10.321888,2009-03-20
1588,11.366238,2009-03-23
1589,11.294706,2009-03-24
1590,11.416309,2009-03-25
1591,12.260372,2009-03-26
1592,11.595136,2009-03-27
1593,11.008584,2009-03-30
1594,10.994278,2009-03-31
1595,11.444921,2009-04-01
1596,11.67382,2009-04-02
1597,11.773963,2009-04-03
1598,11.430615,2009-04-06
1599,11.158798,2009-04-07
1600,11.587983,2009-04-08
1601,12.160229,2009-04-09
1602,11.931331,2009-04-13
1603,11.816881,2009-04-14
1604,11.702432,2009-04-15
1605,12.031473,2009-04-16
1606,12.167382,2009-04-17
1607,11.745351,2009-04-20
1608,11.874105,2009-04-21
1609,11.988555,2009-04-22
1610,11.731045,2009-04-23
1611,12.088698,2009-04-24
1612,12.103004,2009-04-27
1613,12.188841,2009-04-28
1614,12.896996,2009-04-29
1615,13.061517,2009-04-30
1616,13.454935999999998,2009-05-01
1617,13.891273000000002,2009-05-04
1618,13.397711,2009-05-05
1619,13.755364000000002,2009-05-06
1620,13.426323000000002,2009-05-07
1621,13.834048,2009-05-08
1622,13.476395000000002,2009-05-11
1623,13.583691,2009-05-12
1624,12.911302,2009-05-13
1625,13.111588,2009-05-14
1626,12.625179,2009-05-15
1627,12.782546,2009-05-18
1628,13.140201,2009-05-19
1629,13.333332999999998,2009-05-20
1630,12.646638,2009-05-21
1631,12.653791,2009-05-22
1632,12.911302,2009-05-26
1633,12.796853,2009-05-27
1634,12.86123,2009-05-28
1635,13.040057,2009-05-29
1636,13.505007,2009-06-01
1637,13.984263,2009-06-02
1638,13.826896,2009-06-03
1639,14.334764000000002,2009-06-04
1640,14.234621,2009-06-05
1641,14.048641,2009-06-08
1642,14.105865,2009-06-09
1643,13.912732,2009-06-10
1644,14.105865,2009-06-11
1645,13.848354,2009-06-12
1646,13.51216,2009-06-15
1647,13.283262,2009-06-16
1648,13.147353,2009-06-17
1649,13.390558,2009-06-18
1650,13.51216,2009-06-19
1651,13.161659,2009-06-22
1652,13.268954999999998,2009-06-23
1653,13.597997,2009-06-24
1654,14.277539,2009-06-25
1655,14.577969,2009-06-26
1656,14.613734,2009-06-29
1657,14.527897,2009-06-30
1658,14.749642,2009-07-01
1659,14.105865,2009-07-02
1660,13.984263,2009-07-06
1661,13.583691,2009-07-07
1662,13.454935999999998,2009-07-08
1663,13.505007,2009-07-09
1664,13.562232,2009-07-10
1665,13.869814000000002,2009-07-13
1666,13.941345000000002,2009-07-14
1667,14.706724,2009-07-15
1668,14.899857,2009-07-16
1669,14.992845999999998,2009-07-17
1670,15.422031,2009-07-20
1671,15.364807,2009-07-21
1672,15.379113,2009-07-22
1673,15.822604,2009-07-23
1674,15.9299,2009-07-24
1675,16.20887,2009-07-27
1676,16.659513,2009-07-28
1677,16.18741,2009-07-29
1678,16.566525,2009-07-30
1679,16.609442,2009-07-31
1680,17.131617000000002,2009-08-03
1681,17.288984,2009-08-04
1682,16.831188,2009-08-05
1683,16.645208,2009-08-06
1684,16.974249,2009-08-07
1685,17.04578,2009-08-10
1686,17.088697,2009-08-11
1687,17.439199,2009-08-12
1688,17.589413,2009-08-13
1689,17.195992999999998,2009-08-14
1690,16.852646,2009-08-17
1691,18.175966,2009-08-18
1692,18.061516,2009-08-19
1693,18.111588,2009-08-20
1694,18.276108,2009-08-21
1695,18.240343,2009-08-24
1696,18.125895,2009-08-25
1697,18.226038,2009-08-26
1698,18.268955,2009-08-27
1699,18.476395,2009-08-28
1700,18.369099,2009-08-31
1701,18.490702,2009-09-01
1702,18.040058,2009-09-02
1703,18.090128,2009-09-03
1704,18.497854,2009-09-04
1705,18.891273,2009-09-08
1706,19.420601,2009-09-09
1707,19.928469,2009-09-10
1708,20.064377,2009-09-11
1709,20.100143,2009-09-14
1710,20.257511,2009-09-15
1711,20.479256,2009-09-16
1712,20.379112,2009-09-17
1713,20.293276,2009-09-18
1714,20.608011,2009-09-21
1715,20.407724,2009-09-22
1716,20.221745,2009-09-23
1717,19.907009,2009-09-24
1718,19.728184,2009-09-25
1719,19.949928,2009-09-28
1720,19.957081,2009-09-29
1721,19.907009,2009-09-30
1722,19.034334,2009-10-01
1723,18.819742,2009-10-02
1724,19.184549,2009-10-05
1725,19.470673,2009-10-06
1726,19.384836,2009-10-07
1727,19.599428,2009-10-08
1728,19.6495,2009-10-09
1729,19.642345,2009-10-12
1730,19.520744,2009-10-13
1731,19.735336,2009-10-14
1732,19.756796,2009-10-15
1733,19.463520000000006,2009-10-16
1734,19.599428,2009-10-19
1735,18.934191,2009-10-20
1736,19.227468,2009-10-21
1737,19.220314,2009-10-22
1738,18.741058,2009-10-23
1739,18.390558,2009-10-26
1740,18.404863,2009-10-27
1741,18.111588,2009-10-28
1742,18.404863,2009-10-29
1743,17.696709,2009-10-30
1744,17.932760000000005,2009-11-02
1745,17.904148,2009-11-03
1746,17.918454999999994,2009-11-04
1747,18.690987,2009-11-05
1748,18.719599,2009-11-06
1749,19.284693,2009-11-09
1750,19.313305,2009-11-10
1751,19.642345,2009-11-11
1752,19.620888,2009-11-12
1753,20.464951,2009-11-13
1754,21.008583,2009-11-16
1755,21.194563,2009-11-17
1756,21.072962,2009-11-18
1757,20.83691,2009-11-19
1758,20.679543,2009-11-20
1759,20.944206,2009-11-23
1760,20.915594,2009-11-24
1761,21.130186,2009-11-25
1762,20.636623,2009-11-27
1763,20.686695,2009-11-30
1764,21.058655,2009-12-01
1765,21.094421,2009-12-02
1766,21.244635,2009-12-03
1767,21.359085,2009-12-04
1768,21.37339,2009-12-07
1769,21.165951,2009-12-08
1770,20.922747,2009-12-09
1771,21.237482,2009-12-10
1772,21.201717,2009-12-11
1773,21.437769,2009-12-14
1774,21.387697,2009-12-15
1775,21.294706,2009-12-16
1776,21.058655,2009-12-17
1777,21.030043,2009-12-18
1778,21.39485,2009-12-21
1779,21.587982,2009-12-22
1780,21.67382000000001,2009-12-23
1781,21.695278,2009-12-24
1782,21.74535,2009-12-28
1783,21.695278,2009-12-29
1784,22.246065,2009-12-30
1785,22.224607,2009-12-31
1786,22.389128,2010-01-04
1787,22.145924,2010-01-05
1788,22.06724,2010-01-06
1789,22.038626,2010-01-07
1790,22.031473,2010-01-08
1791,22.04578,2010-01-11
1792,21.781116,2010-01-12
1793,21.95278900000001,2010-01-13
1794,22.281832,2010-01-14
1795,21.766809,2010-01-15
1796,22.031473,2010-01-19
1797,21.909872,2010-01-20
1798,21.831188,2010-01-21
1799,20.865522,2010-01-22
1800,21.065809,2010-01-25
1801,20.951359,2010-01-26
1802,20.865522,2010-01-27
1803,20.522175,2010-01-28
1804,20.050072,2010-01-29
1805,20.83691,2010-02-01
1806,21.101574,2010-02-02
1807,21.130186,2010-02-03
1808,20.793991,2010-02-04
1809,20.865522,2010-02-05
1810,20.886982,2010-02-08
1811,21.037195,2010-02-09
1812,20.922747,2010-02-10
1813,21.001431,2010-02-11
1814,21.444921,2010-02-12
1815,21.638054,2010-02-16
1816,21.909872,2010-02-17
1817,22.160229,2010-02-18
1818,22.317596,2010-02-19
1819,22.281832,2010-02-22
1820,22.06724,2010-02-23
1821,22.339056,2010-02-24
1822,22.238913,2010-02-25
1823,22.503576,2010-02-26
1824,22.95422,2010-03-01
1825,23.147354,2010-03-02
1826,23.204578,2010-03-03
1827,23.075823,2010-03-04
1828,23.719599,2010-03-05
1829,23.60515,2010-03-08
1830,23.798283,2010-03-09
1831,24.077253,2010-03-10
1832,24.020029,2010-03-11
1833,23.905579,2010-03-12
1834,23.826895,2010-03-15
1835,23.905579,2010-03-16
1836,23.876966,2010-03-17
1837,23.934191,2010-03-18
1838,23.905579,2010-03-19
1839,24.120173,2010-03-22
1840,24.399141,2010-03-23
1841,24.248926,2010-03-24
1842,24.713877,2010-03-25
1843,24.542204,2010-03-26
1844,24.606581,2010-03-29
1845,24.76394800000001,2010-03-30
1846,24.599428,2010-03-31
1847,24.713877,2010-04-01
1848,24.907009,2010-04-05
1849,24.721029,2010-04-06
1850,24.527897,2010-04-07
1851,24.313305,2010-04-08
1852,24.484978,2010-04-09
1853,24.470673,2010-04-12
1854,24.248926,2010-04-13
1855,24.613733,2010-04-14
1856,25.486408,2010-04-15
1857,25.228899,2010-04-16
1858,25.150215,2010-04-19
1859,25.958511,2010-04-20
1860,25.844063,2010-04-21
1861,26.065809,2010-04-22
1862,26.20887,2010-04-23
1863,26.337626,2010-04-26
1864,25.908442,2010-04-27
1865,26.20887,2010-04-28
1866,26.630901,2010-04-29
1867,25.937054,2010-04-30
1868,26.301859000000004,2010-05-03
1869,25.293276,2010-05-04
1870,24.86409200000001,2010-05-05
1871,23.805437,2010-05-06
1872,22.796852,2010-05-07
1873,24.456366,2010-05-10
1874,24.370529,2010-05-11
1875,24.899857,2010-05-12
1876,24.878397,2010-05-13
1877,24.220314,2010-05-14
1878,24.456366,2010-05-17
1879,22.939915,2010-05-18
1880,23.311874,2010-05-19
1881,22.203148,2010-05-20
1882,22.41774,2010-05-21
1883,22.460659,2010-05-24
1884,22.346209,2010-05-25
1885,22.525036,2010-05-26
1886,23.426323,2010-05-27
1887,23.147354,2010-05-28
1888,22.517883,2010-06-01
1889,23.047211,2010-06-02
1890,23.175966,2010-06-03
1891,21.702433,2010-06-04
1892,21.530758,2010-06-07
1893,21.344778,2010-06-08
1894,21.115879,2010-06-09
1895,21.781116,2010-06-10
1896,21.981401,2010-06-11
1897,22.503576,2010-06-14
1898,23.032904,2010-06-15
1899,23.340487,2010-06-16
1900,23.226038,2010-06-17
1901,23.32618,2010-06-18
1902,23.197426,2010-06-21
1903,22.904148,2010-06-22
1904,22.868383,2010-06-23
1905,22.002861,2010-06-24
1906,21.95278900000001,2010-06-25
1907,21.874105,2010-06-28
1908,20.894135,2010-06-29
1909,20.336195,2010-06-30
1910,20.228899,2010-07-01
1911,19.878397,2010-07-02
1912,19.849785,2010-07-06
1913,20.436338,2010-07-07
1914,20.608011,2010-07-08
1915,20.493563,2010-07-09
1916,20.171675,2010-07-12
1917,20.565092,2010-07-13
1918,20.522175,2010-07-14
1919,20.314735,2010-07-15
1920,19.334764,2010-07-16
1921,19.699572,2010-07-19
1922,19.685265,2010-07-20
1923,19.728184,2010-07-21
1924,20.543634,2010-07-22
1925,20.958511,2010-07-23
1926,21.201717,2010-07-26
1927,20.65093,2010-07-27
1928,20.586552,2010-07-28
1929,20.135908,2010-07-29
1930,19.97854,2010-07-30
1931,20.615164,2010-08-02
1932,19.914164000000003,2010-08-03
1933,20.236052,2010-08-04
1934,20.357655,2010-08-05
1935,20.550787,2010-08-06
1936,21.330473,2010-08-09
1937,21.072962,2010-08-10
1938,20.18598,2010-08-11
1939,19.692417000000006,2010-08-12
1940,19.563662,2010-08-13
1941,19.427753,2010-08-16
1942,20.944206,2010-08-17
1943,21.058655,2010-08-18
1944,20.414879,2010-08-19
1945,20.429184,2010-08-20
1946,20.0,2010-08-23
1947,19.570816,2010-08-24
1948,19.806868,2010-08-25
1949,19.678112,2010-08-26
1950,20.0,2010-08-27
1951,19.799713,2010-08-30
1952,19.291845,2010-08-31
1953,20.236052,2010-09-01
